,Unnamed: 0,Security Number,ISIN,Name(Hebrew),Name(English),Symbol(Hebrew),symbol
142,142,1159037,IL0011590374,אלטשולר שחם גמל,ALTSHU FUND PEN,אשגפ,ASPF
143,143,1101450,IL0011014508,אליום מדיקל,ALLIUM MEDICAL,אלמד,ALMD
145,145,1136829,IL0011368292,אלמוגים,ALMOGIM,אלמה,ALMA
148,148,1142454,IL0011424541,אלמור חשמל,ELMOR,אלמר,ELMR
149,149,1090364,IL0010903644,אלספק,ELSPEC,אלספק,ELSPC
153,153,694034,IL0006940345,אלקו,ELCO,אלקו,ELCO
156,156,739037,IL0007390375,אלקטרה,ELECTRA,אלקטה,ELTR
160,160,1094044,IL0010940448,אלקטרה נדלן,ELECTRA REAL E.,אלקנד,ELCRE
163,163,5010129,IL0050101299,אלקטרה צריכה,ELECTRA CO PR,אמצ,ECP
164,164,368019,IL0003680191,אלקטריאון,ELECTREON,אלוס,ELWS
166,166,387019,IL0003870198,אלרוב נדלן,ALROV PROPERT,אלרנד,ALRPR
171,171,749077,IL0007490779,אלרון,ELRON,אלרון,ELRN
178,178,1097278,IL0010972789,אמות,AMOT,אמות,AMOT
186,186,589010,IL0005890103,אמיליה פיתוח,EMILIA DEVEL,אמפת,EMDV
187,187,654012,IL0006540129,אמנת,AMANET,אמנת,AMAN
188,188,382010,IL0003820102,אמת,E&M,אמת,EMCO
189,189,180018,IL0001800189,אנגל שלמה,ANGEL SALOMON,אנגלש,ANGL
190,190,1101021,IL0011010217,אנדימד,ENDYMED,אנדי,ENDY
191,191,1158997,IL0011319527,אנלייבקס,ENLIVEX,אנלב,ENLV
195,195,720011,IL0007200111,אנלייט אנרגיה,ENLIGHT ENERGY,אנלט,ENLT
196,196,1080613,IL0010806136,אנליסט,ANALYST,אנלסט,ANLT
199,199,1155290,GB00BG12Y042,אנרג'יאן,ENERGEAN,אנאג,ENOG
200,200,1123355,IL0011233553,אנרג'יקס,ENERGIX,אנרג,ENRG
203,203,422014,IL0004220146,אסאר אקורד,S.R ACCORD,אסאק,SRAC
204,204,550012,IL0005500124,אסטיגי,STG,סטג,STG
205,205,313015,IL0003130155,אספן גרופ,ASPEN GROUP,אסגר,ASGR
209,209,1082114,IL0010821143,אפולו פאוור,APOLLO POWER,אפלפ,APLP
210,210,1091354,IL0010913544,אפי נכסים,AFI PROPERTIES,אפנכ,AFPR
216,216,383018,IL0003830184,אפיו אפריקה-ש,APIO AFRICA-M,אפיו.ש,APIO.M
218,218,578013,IL0005780130,אפקון החזקות,AFCON HOLD,אפהח,AFHL
222,222,1097948,IL0010979487,אפריקה מגורים,AFRICA RESIDENC,אפמג,AFRE
223,223,800011,IL0008000114,אפריקה תעשיות,AFRICA INDUST,אפתש,AFID
224,224,755017,IL0007550176,אקויטל,EQUITAL,אקטל,EQTL
226,226,1085497,IL0010854979,אקס טי אל,XTL BIO,אקסבי,XTLB
228,228,770016,IL0007700169,אקסל,ACCEL,אקסל,ACCL
230,230,299016,IL0002990161,אראסאל,RSL,רסל,RSEL
231,231,1091651,IL0010916513,ארד,ARAD,ארד,ARD
234,234,587014,IL0005870147,ארית תעשיות,ARYT,ארית,ARYT
235,235,1085265,IL0010852650,ארן,ARAN,ארן,ARAN
236,236,366013,IL0003660136,ארנה גרופ,ARENA GROUP,ארנה,ARNA
239,239,1095835,IL0010958358,ארפורט סיטי,AIRPORT CITY,ארפט,ARPT
241,241,310011,IL0003100117,ארקו החזקות,ARKO HOLDINGS,ארקו,ARKO
251,251,251017,IL0002510175,אשטרום נכסים,ASHTROM PROP,אשנכ,ASPR
255,255,1132315,IL0011323156,אשטרום קבוצה,ASHTROM GROUP,אשקב,ASHG
256,256,1097229,IL0010972292,ב.יאיר,B.YAIR,ביאר,BYAR
257,257,1158823,IL0010849045,באטמ,BATM,באטמ,BVC
258,258,1101666,IL0011016669,בבילון,BABYLON,בביל,BBYL
259,259,485011,IL0004850116,בונוס ביוגרופ,BONUS BIOGROUP,בונס,BONS
260,260,531012,IL0005310128,בוני תיכון,BONEI TICHON,בנתכ,BOTI
264,264,2590248,IL0025902482,בזן,BAZAN,בזן,ORL
269,269,230011,IL0002300114,בזק,BEZEQ,בזק,BEZQ
279,279,1107663,IL0011076630,בי קומיונקיישנס,B COMMUNICATION,בקומ,BCOM
280,280,1092709,IL0010927098,בי.ג'י.איי-ש,BGI-M,בגאי-ש,BGI-M
281,281,1097260,IL0010972607,ביג,BIG,ביג,BIG
294,294,1096049,IL0010960495,ביו ויו,BIO VIEW,בויו,BIOV
295,295,1095223,IL0010952237,ביולייט,BIOLIGHT,בולט,BOLT
296,296,1101518,IL0011015182,ביוליין,BIOLINE RX,ביול,BLRX
297,297,1162734,US09090D1037,ביומיקס,BIOMX,במקס,PHGE
308,308,593038,IL0005930388,בינלאומי,FIBI BANK,בנלמ,FIBI
309,309,530014,IL0005300145,בירמן,BIRMAN,ברמן,BIRM
310,310,235010,IL0002350101,בית הזהב,GOLDEN HOUSE,בזהב,GOHO
313,313,1081561,IL0010815616,בית שמש,BET SHEMESH,מנבש,BSEN
314,314,1121607,NL0009690619,בראק אן וי,BRACK CAPIT N V,ברקא,BCNV
318,318,1100718,IL0011007189,בריינסוויי,BRAINSWAY,ברינ,BWAY
319,319,399014,IL0003990145,בריל,BRILL,בריל,BRIL
320,320,1094283,IL0010942832,ברימאג,BRIMAG,ברמג,BRMG
322,322,1094515,IL0010945157,ברם תעשיות,BRAM INDUS,ברם,BRAM
323,323,286013,IL0002860133,ברן,BARAN,ברן,BRAN
325,325,536011,IL0005360115,ברנד,BRAND,ברנד,BRND
326,326,1141530,IL0011415309,ברנמילר,BRENMILLER,ברנמ,BNRG
328,328,1104744,IL0011047441,גאון אחזקות,GAON,גאון,GAON
329,329,454017,IL0004540170,גאון קבוצה,GAON GROUP,גנקב,GAGR
330,330,759019,IL0007590198,גב ים,BAYSIDE LAND,גבים,BYSD
336,336,506022,IL0005060228,גבעות יהש,GIVOT L,גבעות,GIVO.L
337,337,1126226,US36257R1041,גדסדן נכסים,GADSDEN PROP,גדס,GADS
338,338,494013,IL0004940131,גו.די.אם-ש,GODM-M,גודמ-ש,GODM-M
339,339,149013,IL0001490130,גולד,GOLD,גולד,GOLD
341,341,1091933,IL0010919335,גולן פלסטיק,GOLAN PLASTIC,גלפל,GLPL
342,342,1096148,IL0010961485,גולף,GOLF,גולף,GOLF
343,343,126011,IL0001260111,גזית גלוב,GAZIT GLOBE,גלוב,GZT
349,349,1156280,IL0011562803,ג'י וואן,G 1 SECU,גואנ,GOSS
352,352,1122688,IL0011226888,ג'י.אף.סי-ס,G.F.C-L,גפסי-ס,GFC-L
353,353,1144781,IL0011447815,ג'י.פי גלובל,G.P GLOBAL,גפגב,GPGB
355,355,448019,IL0004480195,גיבוי אחזקות,GIBUI HOLDING,גיבו,GIBUI
356,356,1082510,IL0010825102,גילת,GILAT,גילת,GILT
357,357,744011,IL0007440113,גיקס,GIX,גיקס,GIX
363,363,1119833,IL0011198335,גלוב אקספ יהש,GLOB EXPLOR,גלאק,GLEX.L
365,365,1141316,IL0011413163,גלובל כנפיים,GLOBAL KNAFAIM,גלכנ,GKL
366,366,1147487,IL0011474876,גלוברנדס,GLOBRANDS,גלרס,GLRS
367,367,9590332,IL0095903329,גליל 5903,GALIL 5903,גלל5903,GL5903
368,368,9590431,IL0095904319,גליל 5904,GALIL 5904,גלל5904,GL5904
369,369,1081983,IL0010819832,גלילאו טק,GLILEO TECH,גלטק,GLTC
370,370,532010,IL0005320101,גן שמואל,GAN SHMUEL,גנשמ,GSFI
371,371,1095892,IL0010958929,גניגר,GINEGAR,גנגר,GNGR
372,372,1156926,IL0011569261,ג'נריישן קפיטל,GENERATION CAP,גנרש,GNRS
380,380,400010,IL0004000100,דוניץ,DUNIEC,דונץ,DUNI
382,382,1093202,IL0010932023,דור אלון,DOR ALON,דראל,DRAL
386,386,1166768,IL0011667685,דוראל אנרגיה,DORAL ENERGY,דורל,DORL
387,387,1096676,IL0010966765,דורסל,DORSEL,דרסל,DRSL
391,391,1103852,IL0011038523,די.אן.איי ביומד,D.N.A BIOMED,דאנא,DNA
399,399,691212,IL0006912120,דיסקונט א,DISCOUNT,דסקנט,DSCT
400,400,639013,IL0006390137,דיסקונט השקעות,DISCOUNT INV,דסקש,DISI
412,412,1084128,IL0010841281,דלק קבוצה,DELEK GROUP,דלקקב,DLEKG
414,414,475020,IL0004750209,דלק קידוחים יהש,DELEK DRILL L,דלקד,DEDR.L
416,416,829010,IL0008290103,דלק רכב,DELEK AUTOMOTIV,דלקרכ,DLEA
417,417,1129493,IL0011294936,דלק תמלוגים,DELEK ROYAL,דלתמ,DLRL
422,422,627034,IL0006270347,דלתא,DELTA,דלתא,DELT
427,427,1090315,IL0010903156,דמרי,DIMRI,דמרי,DIMRI
432,432,822015,IL0008220159,דן מלונות,DAN HOTELS,דן,DANH
433,433,314013,IL0003140139,דנאל,DANEL,דנאל,DANE
434,434,1116177,IL0011161770,דקמא קפיטל,DECAMA CAPITAL,דקמא,DCMA
436,436,1159029,IL0011590291,הבורסה לניע בתא,TASE,ברסה,TASE
437,437,1095405,IL0010954050,הדסית ביו,HADASIT BIO,הדסת,HDST
438,438,1142587,IL0011425878,הולמס פלייס,HOLMES PLACE,הלמס,HLMS
439,439,1119924,IL0011199242,הזדמנות יהש,ISRAEL OP L,הזיש,ISOP.L
443,443,1121474,IL0011214744,הכשרה התחדשות,ILD RENEWAL,הכשע,ILDR
445,445,612010,IL0006120104,הכשרת הישוב,LAND DEV,הכשרה,ILDC
450,450,1094622,IL0010946221,הלמן אלדובי השק,HALMANALDUB INV,הלהש,HAIN
452,452,1080324,IL0010803240,המלט,HAMLET,המלט,HAML
453,453,1104959,IL0011049595,המשביר 365,HAMASHBIR 365,משבי,MSBI
456,456,767012,IL0007670123,הפניקס,PHOENIX,פנקס,PHOE
475,475,585018,IL0005850180,הראל השקעות,HAREL,הראל,HARL
479,479,1082346,IL0010823461,וואיטסטון,WHITESTONE,ווטס,WTS
481,481,161018,IL0001610182,וואן טכנולוגיות,ONE TECHNOLOGI,וואן,ONE
483,483,216010,IL0002160104,וויטסמוק,WHITESMOKE,וסמק,WSMK
484,484,486027,IL0004860271,וויי בוקס,YBOX,ובקס,YBOX
488,488,1138676,CY0106661412,וונטייז-ש,VONETIZE-M,ונטז-ש,VNTZ-M
492,492,350017,IL0003500175,ויז'ן סיגמא,VISION SIGMA,ויזן,VISN
493,493,824011,IL0008240116,ויטלה קפיטל-ש,VITALA CAPIT-M,וטלק-ש,VTLC-M
494,494,416016,IL0004160169,וילאר,VILLAR,ולאר,VILR
499,499,371013,IL0003710139,וילי פוד,WILLY FOOD,ולפוד,WLFD
500,500,1082858,IL0010828585,ויליפוד אינטרנש,WILLI FOOD INTE,וילפ,WILC
501,501,1123777,IL0011237778,ויקטורי,VICTORY,וקטר,VCTR
502,502,1161496,IL0011614968,ויקטורי אר 2,VICTORY O 2,וקטר.אר2,VCTR.O2
505,505,1109966,IL0011099665,ויתניה,VITANIA,ותנה,VTNA
508,508,130013,IL0001300131,זנלכל,ZANLAKOL,זנכל,ZNKL
509,509,576017,IL0005760173,חברה לישראל,ISRAEL CORP,חל,ILCO
516,516,823013,IL0008230133,חג'ג',HAGAG,חגג,HGG
522,522,351015,IL0003510158,חד,HOD,חד,HOD
523,523,1084698,IL0010846983,חילן,HILAN,חילן,HLAN
524,524,150011,IL0001500110,חירון,HIRON,חרון,HRON
529,529,1092345,IL0010923451,חלל תקשורת,SPACE COM,חלל,SCC
530,530,1104785,IL0011047854,חממה סחר,HAMAMA,חממה,HMAM
531,531,384016,IL0003840167,חמת,HAMAT,חמת,HAMAT
532,532,1102532,IL0011025322,חנן מור,HANAN MOR,חנמר,HNMR
544,544,1082379,IL0010823792,טאואר,TOWER,טאואר,TSEM
546,546,629014,IL0006290147,טבע,TEVA,טבע,TEVA
547,547,462010,IL0004620105,טוגדר,TOGETHER,טגדר,TGTR
549,549,1083377,IL0010833775,טופ מערכות,TOP SYSTEMS,טופמע,TOPS
550,550,103010,IL0001030100,טיב טעם,TIV TAAM,טטעמ,TTAM
552,552,1083419,IL0010834195,טכנופלס ונצרס,TCHNOPLS VENT,טכפצר,TNPV
553,553,477018,IL0004770181,טלדור,TALDOR,טלדר,TALD
554,554,354019,IL0003540197,טלסיס,TELSYS,טלסיס,TLSY
555,555,1140953,IL0011409534,טלרד נטוורקס,TELRAD NETWORKS,טלרד,TLRD
558,558,1161264,IL0011612640,יוחננוף,YOCHANANOF,יחנפ,YHNF
559,559,1157114,IL0011571143,יוטרון,UTRON,יטרנ,UTRN
560,560,1080605,IL0010806052,יונט קרדיט,UNET CREDIT,ינקר,UNCR
562,562,1093558,IL0010935588,יוניבו,UNIVO,יונב,UNVO
567,567,1083831,IL0010838311,יוניטרוניקס,UNITRONICS,יונט,UNIT
569,569,1142421,IL0011424210,יעקובי קבוצה,YAACOBI GROUP,יעקב,YAAC
570,570,704015,IL0007040152,יצוא,EXPORT INV,יצוא,EXPO
572,572,726018,IL0007260180,ירושלים,JERUSALEM,ירשם,JBNK
580,580,1157403,IL0011574030,ישראכרט,ISRACARD,ישכט,ISCD
582,582,434019,IL0004340191,ישראל קנדה,ISRAEL CANADA,ישקנ,ISCN
585,585,232017,IL0002320179,ישראמקו יהש,ISRAMCO L,ישרמק,ISRA.L
587,587,1080985,IL0010809858,ישרוטל,ISROTEL,ישרטל,ISRO
589,589,613034,IL0006130343,ישרס,ISRAS,ישרס,ISRS
595,595,810010,IL0008100104,כהן פיתוח,COHEN DEV,כהנפת,CDEV
596,596,765016,IL0007650166,כיטוב פארמה,KITOV PHARMA,כטוב,KTOV
597,597,1104280,IL0011042806,כלל ביוטכנו,CLAL BIOTECH,כללבי,CBI
598,598,1147685,IL0011476855,כלל משקאות,CLAL BEVERAGES,כלמש,CLBV
599,599,224014,IL0002240146,כלל עסקי ביטוח,CLAL INSURANCE,כללבט,CLIS
607,607,1094473,IL0010944739,כן פייט ביופרמה,CAN FITE BIO,כנפב,CANF
608,608,543017,IL0005430173,כנפיים,KNAFAIM,כנפים,KNFM
610,610,522011,IL0005220111,כפרית,KAFRIT,כפרת,KAFR
611,611,440016,IL0004400169,כרמית,CARMIT,כרמת,CRMT
612,612,604611,IL0006046119,לאומי,LEUMI,לאומי,LUMI
627,627,136010,IL0001360101,להב,LAHAV,להב,LAHAV
630,630,753012,IL0007530129,לודזיה,LODZIA,לודז,LODZ
631,631,1081439,IL0010814395,לודן,LUDAN,לודן,LUDN
633,633,666016,IL0006660166,"לוזון נדל""ן",LUZON REAL E.,לזננ,LZNR
639,639,473017,IL0004730177,לוזון קבוצה,LUZON GROUP,לוזנ,LUZN
642,642,200014,IL0002000144,לוינסקי עופר,LEVINSKI OFER,ליעפ,LEOF
644,644,573014,IL0005730143,לוינשטין הנדסה,LEVINSTEIN ENG,לשטן,LEVI
645,645,1119080,IL0011190803,לוינשטין נכסים,LEVINSTEIN PROP,לשנכ,LVPR
648,648,584011,IL0005840116,ליבנטל,LIBENTAL,לבטל,LBTL
650,650,318014,IL0003180143,לידר השקעות,LEADER,לידר,LDER
651,651,1123017,US5381461012,לייבפרסון,LIVEPERSON,לפסן,LPSN
654,654,1136365,US53566P1093,ליניאג תרפיוטיק,LINEAGE THERAP,לינג,LCTX
655,655,826016,IL0008260163,לכיש,LACHISH,לכיש,LHIS
656,656,1140946,IL0011409468,לסיכו,LESICO,לסכו,LSCO
657,657,1091248,IL0010912488,לפידות חלץ יהש,LAPIDOT HEL L,לפחל,LPHL.L
661,661,642017,IL0006420173,לפידות קפיטל,LAPIDOTH CAP.,לפדת,LAPD
674,674,127019,IL0001270193,מבטח שמיר,MIVTACH SHAMIR,מבשמ,MISH
675,675,226019,IL0002260193,מבנה,MIVNE,מבנה,MVNE
685,685,1081165,IL0010811656,מגדל ביטוח,MIGDAL INSUR.,מגדל,MGDL
691,691,1131523,IL0011315236,מגדלי תיכון,MEDITR TOWER,מגתכ,MDTR
694,694,1104488,IL0011044885,מגה אור,MEGA OR,מגאר,MGOR
700,700,1139195,IL0011391955,מגוריט,MGURIT,מריט,MGRT
703,703,1082312,IL0010823123,מג'יק,MAGIC,מגיק,MGIC
704,704,1096171,IL0010961717,מדיגוס,MEDIGUS,מדגס,MDGS
705,705,1122654,IL0011226540,מדיוי,MEDIVIE,מדיוי,MDVI
707,707,1139955,CY0100361019,מדיפאואר,MEDIPOWER 0.1$,מדפר,MDPR
709,709,1143148,US58503F1066,מדלי,MEDLEY,מדלי,MCC
710,710,686014,IL0006860147,מהדרין,MEHADRIN,מהדרן,MEDN
711,711,1105139,IL0011051393,מובייל מקס-ש,MOBILE MAX-M,מבמק-ש,MBMX-M
715,715,345017,IL0003450173,מודיעין יהש,MODIIN L,מדע,MDIN.L
718,718,1141464,IL0011414641,מור השקעות,MORE INVEST,מרהש,MRIN
736,736,695437,IL0006954379,מזרחי טפחות,MIZRAHI TEFAHOT,מזטפ,MZTF
737,737,1131697,IL0011316978,מטומי,MATOMY,מטומי,MTMY
738,738,716019,IL0007160190,מטעי הדר 1,CITRUS PLANT1,מטעי1,CTPL1
739,739,716035,IL0007160356,מטעי הדר 5,CITRUS PLANT 5,מטעי5,CTPL5
740,740,445015,IL0004450156,מטריקס,MATRIX,מטרקס,MTRX
741,741,544015,IL0005440156,מידאס,MYDAS,מדאס,MYDS
743,743,507012,IL0005070128,מיחשוב ישר קב,COMPUTER DIRECT,מחשר,CMDR
744,744,1081843,IL0010818438,מיטב דש,MEITAV DS,מטדש,MTDS
747,747,1080720,IL0010807209,מיט-טק,MEAT-TECH,מיטק,MEAT
748,748,1091065,IL0010910656,מיטרוניקס,MAYTRONICS,מטרן,MTRN
749,749,1094168,US62844N2080,מיי סייז,MY SIZE,מיסז,MYSZ
750,750,1167501,IL0011675019,מילניום פוד יהש,MILLENNIUM FOOD,מיפט,MIFT
751,751,433011,IL0004330119,מיקרומדיק,MICROMEDIC,מקטכ,MCTC
753,753,1099787,IL0010997877,מיקרונט,MICRONET,מקרנט,MCRNT
755,755,1108638,CY0106902113,מירלנד,MIRLAND,מרלד,MLD
757,757,1105196,IL0011051963,מישורים,MISHORIM,מישר,MSHR
762,762,1143502,IL0011435026,מכון חקר אנטרנט,INTERNET RES,מטנט,IRI
764,764,323014,IL0003230146,מליסרון,MELISRON,מלסרן,MLSR
775,775,156018,IL0001560189,מלם תים,MALAM TEAM,מלתם,MLTM
777,777,238014,IL0002380140,ממן,MAMAN,ממן,MMAN
813,813,1080522,IL0010805229,מן הגורן,MIN HAGOREN,מנגנ,MNGN
814,814,1129444,IL0011294449,מנדלסוןתשת,MENDELSON IF,מנתש,MNIN
820,820,566018,IL0005660183,מנורה מב החז,MENORA MIV HLD,ממהח,MMHD
821,821,1140573,IL0011405730,מניבים ריט,MENIVIM REIT,מנרט,MNRT
828,828,155036,IL0001550362,מנרב,MINRAV,מנרב,MNRV
832,832,1106749,IL0011067498,מצלאוי,MASLAVI,מצלא,MSLA
836,836,338012,IL0003380123,מר,MER,מר,CMER
838,838,257014,IL0002570146,מרחביה אחזקות,MERCHAVIA HOLD,מראח,MRHL
840,840,1166974,IL0011669749,משק אנרגיה,MESHEK ENERGY,משקא,MSKE
843,843,1141969,IL0011419699,נאוויטס פטר יהש,NAVITAS PTRO L,נאפט,NVPT.L
844,844,208017,IL0002080179,נאוי,NAWI,נאוי,NAWI
847,847,1084557,IL0010845571,נובה,NOVA,נובה,NVMI
848,848,1140151,IL0011401515,נובולוג,NOVOLOG,נבלג,NVLG
850,850,723007,PAL0605071A3,נורסטאר,NORSTAR,נסטר,NSTR
854,854,168013,IL0001680136,נטו אחזקות,NETO,נטו,NTO
855,855,1105097,IL0011050973,נטו מלינדה,NETO MALINDA,נטמל,NTML
856,856,397018,IL0003970188,ניו הוריזון-ש,NEW HORIZON-M,נירז-ש,NERZ-M
857,857,273011,IL0002730112,נייס,NICE,נייס,NICE
858,858,632018,IL0006320183,נייר חדרה,HADERA PAPER,נייח,HAP
860,860,660019,IL0006600196,ניסן,NISSAN,ניסן,NISA
866,866,699017,IL0006990175,נכסים ובנין,PROPERT & BUIL,נכסבנ,PTBL
872,872,643015,IL0006430156,נפטא,NAPHTHA,נפטא,NFTA
874,874,1083930,IL0010839301,נקסט ג'ן-ש,NEXTGEN-M,נקגן-ש,NXGN-M
875,875,1095785,IL0010957855,נקסטקום,NEXTCOM,נקסט,NXTM
878,878,421016,IL0004210162,נתנאל גרופ,NETANEL GROUP,נתגר,NTGR
889,889,1080597,IL0010805971,סאטקום מערכות,SATCOM SYSTEM,סטקם,STCM
890,890,1081686,IL0010816861,סאמיט,SUMMIT,סמט,SMT
897,897,1082353,IL0010823537,סאני תקשורת,SUNY COMMUN,סנתק,SNCM
898,898,1098755,IL0010987555,סאנפלאואר,SUNFLOWER,סנפל,SNFL
899,899,1087659,KYG7T16G1039,סאפיינס,SAPIENS,ספנס,SPNS
901,901,1102235,IL0011022352,סולגרין,SOLEGREEN,סלגן,SLGN
903,903,1129451,VGG826421023,סומוטו,SOMOTO,סמטו,SMTO
904,904,1166917,IL0011669178,סופרגז,SUPERGAS ENERGY,ספגז,SPGE
909,909,442012,IL0004420126,סיאי,C I SYSTEMS,סיאי,CISY
910,910,1166693,IL0011666935,סייברוואן,SAVER ONE,סיבר,SAVR
911,911,1083856,IL0010838568,סייפ-טי גרופ,SAFE-T GROUP,ספטי,SFET
914,914,1142355,US1255258576,סים בכורה סד L,CIM COMME.P L,סמסטב,CMCTP
915,915,1142306,US1255255846,סים קומרשייל,CIM COM0.001$,סמסט,CMCT
916,916,1084953,IL0010849532,סינאל,SYNEL,סנאל,SNEL
917,917,1109644,IL0011096448,סלע נדלן,SELLA REAL EST,סלענד,SLARL
921,921,1101534,IL0011015349,סלקום,CELLCOM,סלקם,CEL
928,928,813014,IL0008130143,סנו,SANO,סנו,SANO1
929,929,1090117,IL0010901176,ספאנטק,SPUNTECH,ספנטק,SPNTC
934,934,1097344,IL0010973449,ספרינג,SPRING,ספרג,SPRG
935,935,288019,IL0002880198,סקופ,SCOPE,סקופ,SCOP
936,936,1131556,CA83084Y1007,סקייליין,SKYLINE,סקלן,SKLN
939,939,1143643,IL0011436438,עדיקה סטייל,ADKA,עדקה,ADKA
944,944,1119478,IL0011194789,עזריאלי קבוצה,AZRIELI GROUP,עזרל,AZRG
945,945,1083658,IL0010836588,עילדב,ELDAV,עלדב,ELDAV
946,946,625012,IL0006250125,על בד,ALBAAD,עלבד,ALBA
948,948,1092204,IL0010922040,עמיר שיווק,AMIR MARK.,עמשק,AMRK
949,949,424010,IL0004240102,ענבר גרופ,INBAR GROUP,ענבר,INBR
950,950,731018,IL0007310183,ערד,ARAD INVESTMENT,ערד,ARAD
952,952,1120161,IL0011201618,ערך פיננסים,ERECH FINANCE,עפנכ,EFNC
953,953,312017,IL0003120172,עשות,ASHOT,עשות,ASHO
