Name,Symbol,ISIN,Index,Closing Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
COMPUGEN,CGEN,IL0010852080,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",5245,-1.34,11291.25,EoD
COMPUTER DIRECT,CMDR,IL0005070128,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite",14200,1.36,150.82,EoD
D.N.A BIOMED,DNA,IL0011038523,,65.5,0.31,9.36,EoD
DAN   HOTELS,DANH,IL0008220159,,2374,-0.88,104.88,EoD
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",29220,0,9669.58,EoD
DECAMA CAPITAL,DCMA,IL0011161770,,53,2.12,2.36,EoD
DELEK     ROYAL,DLRL,IL0011294936,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",685.8,2.7,123.1,EoD
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1800,0.78,3735.1,EoD
DELEK DRILL L,DEDR.L,IL0004750209,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",439.1,3.81,28734.17,EoD
DELEK GROUP,DLEKG,IL0010841281,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",16170,5,47149.59,EoD
DELTA,DELT,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",5611,0.83,3113.19,EoD
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",10330,-0.39,1683.21,EoD
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",1075,2.28,101004.25,EoD
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare",484.8,3.83,574.36,EoD
DOR ALON,DRAL,IL0010932023,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",7230,-2.82,1265.94,EoD
DORSEL,DRSL,IL0010966765,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",1212,-1.94,6.1,EoD
DUNIEC,DUNI,IL0004000100,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",10200,2.74,99.71,EoD
E&M,EMCO,IL0003820102,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",1159,1.58,89.49,EoD
EDRI-EL,EDRL,IL0011051625,,71.2,-9.41,17.12,EoD
EL AL,ELAL,IL0010878242,"TA-SME60, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150",74,-3.01,3947.35,EoD
ELBIT IMAGING,EMITF,IL0010811169,,422.4,-3.56,30.35,EoD
ELBIT MEDITEC,EMTC,IL0004740150,,106.1,-8.93,190.91,EoD
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",45570,4.04,115819.79,EoD
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",12310,1.48,3581.65,EoD
ELDAV,ELDAV,IL0010836588,,208.9,2.45,219.94,EoD
ELECTRA,ELTR,IL0007390375,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-Family",158500,4.21,20033.49,EoD
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",6490,0.92,2098.31,EoD
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",1749,0.87,812.87,EoD
ELECTREON,ELWS,IL0003680191,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Energy Utilities",10860,6.47,3088.76,EoD
ELLOMAY,ELLO,IL0010826357,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-SME150, TA-Energy Utilities",6018,2.36,154.57,EoD
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",594.3,-1.2,37.01,EoD
ELRON,ELRN,IL0007490779,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",555.3,2.78,13.99,EoD
ELSPEC,ELSPC,IL0010903644,,270.2,0,0,EoD
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",1245,-1.19,6.44,EoD
ENDYMED,ENDY,IL0011010217,,199.2,-7.35,103.72,EoD
ENERGEAN,ENOG,GB00BG12Y042,"TA-35, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",3010,4.22,15770.42,EoD
ENERGIX,ENRG,IL0011233553,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",1120,1.91,15275.57,EoD
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",405.2,2.58,12990.73,EoD
ENLIVEX,ENLV,IL0011319527,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1869,2.47,353.47,EoD
EQUITAL,EQTL,IL0007550176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",8656,2.11,5728.58,EoD
ERECH FINANCE,EFNC,IL0011201618,,2544,3,42.76,EoD
EVOGENE,EVGN,IL0011050551,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",375,0.83,314.69,EoD
EXALENZ,EXEN,IL0011048688,,590.1,0.7,12.1,EoD
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",1843,3.6,22.89,EoD
FANTASY NETWORK,FNTS,IL0002780109,,189.4,10.83,4.33,EoD
FATTAL,FTAL,IL0011434292,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA Sector-Balance",18040,1.46,30363.51,EoD
FIBI BANK,FIBI,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",8382,2.7,38231.36,EoD
FIBI HOLDINGS,FIBIH,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9870,3.59,5247.61,EoD
FMS,FBRT,IL0003150104,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Family",12250,-0.24,1107.2,EoD
FORESIGHT,FRSX,IL0001990188,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",53.3,3.5,113.75,EoD
FORMULA,FORTY,IL0002560162,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",23900,1.1,7651.89,EoD
FOX,FOX,IL0010870223,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Family",12150,3.67,3962.85,EoD
FRESHMARKET,FRSM,IL0011578338,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",985,-0.92,2475.98,EoD
FRIDENSON,FRDN,IL0011022196,"TA-Growth, TA-AllShare",5342,0,0.11,EoD
G 1 SECU,GOSS,IL0011562803,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",606.2,0.46,27.52,EoD
G.F.C-L,GFC-L,IL0011226888,,888,0.16,4,EoD
G.P GLOBAL,GPGB,IL0011447815,"TA-Growth, TA-AllShare, TA-Energy Utilities",801.5,-0.11,0.09,EoD
GADSDEN PROP,GADS,US36257R1041,,139.3,0,0,EoD
GAN SHMUEL,GSFI,IL0005320101,"TA-Growth, TA-AllShare, TA-Industrials",2097,0.91,4.74,EoD
GAON,GAON,IL0011047441,,3390,0,0,EoD
GAON GROUP,GAGR,IL0004540170,"TA-Growth, TA-AllShare, TA-Industrials",386.9,0.31,0.58,EoD
GAZIT GLOBE,GZT,IL0001260111,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties Abroad",2549,-1.96,23188.47,EoD
GENERATION CAP,GNRS,IL0011569261,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Energy Utilities",73.2,-0.41,564.26,EoD
GIBUI HOLDING,GIBUI,IL0004480195,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",4426,0.23,0.76,EoD
GILAT,GILT,IL0010825102,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",2985,0.84,4792.16,EoD
GINEGAR,GNGR,IL0010958929,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1194,2.05,13.41,EoD
GIVOT     L,GIVO.L,IL0005060228,,7.1,1.43,140.72,EoD
GLILEO TECH,GLTC,IL0010819832,,41.6,6.39,204.02,EoD
GLOB EXPLOR,GLEX.L,IL0011198335,,104.5,-3.78,91.91,EoD
GLOBAL KNAFAIM,GKL,IL0011413163,"TA-Growth, TA-AllShare, TA-Rimon",78,-0.13,64.2,EoD
GLOBRANDS,GLRS,IL0011474876,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",33410,1.06,155.76,EoD
GODM-M,GODM-M,IL0004940131,,27.4,-2.14,5.15,EoD
GOLAN PLASTIC,GLPL,IL0010919335,"TA-Growth, TA-AllShare, TA-Industrials",674.5,0.18,7.16,EoD
GOLD,GOLD,IL0001490130,"TA-Growth, TA-AllShare",8302,0,0.17,EoD
GOLDEN HOUSE,GOHO,IL0002350101,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",1169,1.12,34.54,EoD
GOLF,GOLF,IL0010961485,"TA-Growth, TA-AllShare",130.8,-6.1,340.96,EoD
HADASIT BIO,HDST,IL0010954050,,290,-4.45,21.83,EoD
HADERA PAPER,HAP,IL0006320183,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",14740,10.99,3671.62,EoD
HAGAG,HGG,IL0008230133,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",856.7,-0.44,134.58,EoD
HALMANALDUB INV,HAIN,IL0010946221,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",294.7,-0.07,77.52,EoD
HAMAMA,HMAM,IL0011047854,,250,0,0,EoD
HAMASHBIR 365,MSBI,IL0011049595,"TA-Growth, TA-AllShare",39.6,7.03,11.37,EoD
HAMAT,HAMAT,IL0003840167,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",848,3.01,93.8,EoD
HAMLET,HAML,IL0010803240,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",5963,15.05,6010.58,EoD
HANAN MOR,HNMR,IL0011025322,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1724,0.47,43.63,EoD
HAREL,HARL,IL0005850180,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA Sector-Balance, TA-Family",2142,0,25479.1,EoD
HILAN,HLAN,IL0010846983,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",12840,2.72,6431.97,EoD
HIRON,HRON,IL0001500110,"TA-Growth, TA-AllShare",171310,-1.57,5.14,EoD
HOD,HOD,IL0003510158,"TA-Growth, TA-AllShare, TA-Industrials",1320,2.25,6.81,EoD
HOLMES PLACE,HLMS,IL0011425878,"TA-Growth, TA-AllShare, TA-Rimon",290.8,2.76,176.8,EoD
IBI INV HOUSE,IBI,IL0001750186,"TA-Finance Index, TA-Maala Index, TA-Growth, TA-AllShare, TA Insurance-Plus",3180,-0.03,0.54,EoD
